"","screen_name","name","id","desc","location","url","followers","friends","status_count","lang","time_zone","geo","verified","influence","text","tweet_id","tweet_date","retweets","in_reply_to","reply_id","source","coords_type","cooords_lat","coords_long","location_search_id","doc_lang","sentiment"
"1030","JenEDavison","Jen Davison",308623046,"Finding ways to share science at UWa College of the Environment. Fueled by curiosity, wild places, community, yoga, dogs, chocolate. Views my own.","Seattle, WA","http://depts.washington.edu/coenv/news-blog/",495,595,2936,"en","Pacific Time (US & Canada)","","",NA,"S. Pickett explains Earth Stewardship, one of my favorite developments: http://t.co/RNlY8vjo #ESA2012",232499213446021120,2011-05-31 11:31:11,NA,"",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"us","en",1
"1031","jebyrnes","jebyrnes",21704370,"marine ecologist, online bon vivant, science crowdfunding curious - http://scifund.wordpress.org","Boston, MA","http://jarrettbyrnes.info",1023,1218,2729,"en","Pacific Time (US & Canada)","","",NA,"Pickett plenary - objectivity results from openness in science.  #openscience #esa2012 #oa",232499245742166016,2009-02-23 14:56:31,NA,"",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"us","en",NA
"1032","JenEDavison","Jen Davison",308623046,"Finding ways to share science at UWa College of the Environment. Fueled by curiosity, wild places, community, yoga, dogs, chocolate. Views my own.","Seattle, WA","http://depts.washington.edu/coenv/news-blog/",495,595,2937,"en","Pacific Time (US & Canada)","","",NA,"RT @jebyrnes: Pickett plenary - objectivity results from openness in science.  #openscience #esa2012 #oa",232499359319736320,2011-05-31 11:31:11,NA,"",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"us","en",NA
"1033","SarahBisbing","Sarah Bisbing",575472896,"Forest ecologist, landscape geneticist, PhD candidate, and climate change fellow. Otherwise, tree-lover, cyclist, yogi, domestic goddess. ","Fort Collins, CO","http://warnercnr.colostate.edu/~sbisbing/",98,185,269,"en","Mountain Time (US & Canada)","","",NA,"Jerry Franklin plenary at #ESA2012 now!",232499569093652480,2012-05-09 09:04:59,NA,"",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","",NA,NA,"us","en",NA
"1034","SarahBisbing","Sarah Bisbing",575472896,"Forest ecologist, landscape geneticist, PhD candidate, and climate change fellow. Otherwise, tree-lover, cyclist, yogi, domestic goddess. ","Fort Collins, CO","http://warnercnr.colostate.edu/~sbisbing/",98,185,268,"en","Mountain Time (US & Canada)","","",NA,"Steward Pickett: Old mythology of science = weight on shoulders of individ researchers. Best seen as community activity. #ESA2012 plenary.",232499569513099264,2012-05-09 09:04:59,NA,"",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","",NA,NA,"us","en",1
"1035","SarahBisbing","Sarah Bisbing",575472896,"Forest ecologist, landscape geneticist, PhD candidate, and climate change fellow. Otherwise, tree-lover, cyclist, yogi, domestic goddess. ","Fort Collins, CO","http://warnercnr.colostate.edu/~sbisbing/",98,185,269,"en","Mountain Time (US & Canada)","","",NA,"Steward Pickett: Specialization is supported by the specialities our colleagues choose. #ESA2012 plenary.",232499569995423744,2012-05-09 09:04:59,NA,"",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","",NA,NA,"us","en",1
"1036","thecamsie","Cameron Egan",221911534,"Soil microbiol ecologist, PhD student, Former athlete attempting to retain some of his previous physiology","","",40,103,176,"en","Pacific Time (US & Canada)","","",NA,"Loving the free transit free coffee and presidents speech #ESA2012",232499601142321152,2010-12-01 15:32:20,NA,"",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","",NA,NA,"","en",1
"1037","ethanwhite","Ethan White",34540379,"I'm a happily married dad and a scientist. I like computers, math, stats, and good scotch. I believe in the importance of open science and a free and open web.","Logan, UT","http://whitelab.weecology.org",227,112,1183,"en","Mountain Time (US & Canada)","","",NA,"RT @jebyrnes: Pickett plenary - objectivity results from openness in science.  #openscience #esa2012 #oa",232499633086164992,2009-04-22 22:10:52,1,"",NA,"web","",NA,NA,"","en",NA
"1038","ideas4sust","ideas4sustainability",308911758,"Ideas for sustainability is a forum to discuss exciting ideas that might help us reach a sustainable future. Visit http://ideas4sustainability.wordpress.com/ ","Leuphana University Lueneburg","http://sites.google.com/site/joernfischerspage/Home",170,161,247,"en","","","",NA,"re: Earth Stewardship: symp this AM, and symp on Human Behavior and Sustainability tomorrow AM; see also: http://t.co/GXTtdKiZ #ESA2012",232500422353510400,2011-05-31 23:20:01,NA,"",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"","en",NA
"1039","talksciencetome","Eve Rickert",394466622,"I help people who love science tell their stories. Writer, editor, connector, catalyst, mastermind.","Vancouver, British Columbia","http://www.talksciencetome.com",313,598,1434,"en","","","",NA,"Anyone at #ESA2012 want to join me for focused work/study group this eve? At McMenamins Broadway, or I can provide living rm. Till ~midnight",232500616298110976,2011-10-19 20:34:36,NA,"",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","",NA,NA,"ca","en",1
